,names,links
0,3-D Man ,https://www.marvel.com/characters/3-d-man-chandler
1,3-D Man ,https://www.marvel.com/characters/3-d-man-delroy-garrett
2,8-Ball ,https://www.marvel.com/characters/8-ball-jeff-hagees
3,A ,https://www.marvel.com/characters/a-lady-killers
4,Aamir Khan,https://www.marvel.com/characters/aamir-khan
5,Aardwolf,https://www.marvel.com/characters/aardwolf
6,Abdul Alhazred,https://www.marvel.com/characters/abdul-alhazred
7,Aberration,https://www.marvel.com/characters/aberration
8,Abigail Brand,https://www.marvel.com/characters/abigail-brand
9,Abomination,https://www.marvel.com/characters/abomination
10,Abraxas,https://www.marvel.com/characters/abraxas
11,Absorbing Man,https://www.marvel.com/characters/absorbing-man
12,Abyss ,https://www.marvel.com/characters/abyss-age-of-apocalypse
13,Abyss ,https://www.marvel.com/characters/abyss-alien
14,Abyss,https://www.marvel.com/characters/abyss
15,Ace ,https://www.marvel.com/characters/ace-g-r-a-m-p-a
16,Achebe,https://www.marvel.com/characters/achebe
17,Acrobat ,https://www.marvel.com/characters/acrobat-carl-zante
18,Acroyear,https://www.marvel.com/characters/acroyear
19,Adam Destine,https://www.marvel.com/characters/adam-destine
20,Adam II ,https://www.marvel.com/characters/adam-ii-earth-8206
21,Adam Mann,https://www.marvel.com/characters/adam-mann
22,Adaptoid ,https://www.marvel.com/characters/adaptoid-new-enforcers
23,Adaptoid ,https://www.marvel.com/characters/adaptoid-spawn
24,Administrator,https://www.marvel.com/characters/administrator
25,Adversary,https://www.marvel.com/characters/adversary
26,Aegis ,https://www.marvel.com/characters/aegis-lady-of-all-sorrows
27,Aegis ,https://www.marvel.com/characters/aegis-trey-rollins
28,Aero,https://www.marvel.com/characters/aero-lei-ling
29,Aero,https://www.marvel.com/characters/aero-melody-guthrie
30,Aftershock ,https://www.marvel.com/characters/aftershock-earth-982
31,Agatha Harkness,https://www.marvel.com/characters/agatha-harkness
32,Aged Genghis,https://www.marvel.com/characters/aged-genghis
33,Agent ,https://www.marvel.com/characters/agent-rick-mason
34,Agent Mobius,https://www.marvel.com/characters/agent-mobius
35,Agent X ,https://www.marvel.com/characters/agent-x-nijo
36,Agent Zero,https://www.marvel.com/characters/agent-zero
37,Aggamon,https://www.marvel.com/characters/aggamon
38,El Águila ,https://www.marvel.com/characters/aguila-alejandro-montoya
39,Aguila ,https://www.marvel.com/characters/aguila-paco-montoya
40,Ahab,https://www.marvel.com/characters/ahab
41,Ai Apaec,https://www.marvel.com/characters/ai-apaec
42,Air-Walker ,https://www.marvel.com/characters/air-walker-gabriel-lan
43,Airstrike ,https://www.marvel.com/characters/airstrike-dmitri-bukharin
44,Aisha,https://www.marvel.com/characters/aisha
45,Ajak,https://www.marvel.com/characters/ajak
46,Ajax ,https://www.marvel.com/characters/ajax-francis
47,Ajaxis,https://www.marvel.com/characters/ajaxis
48,Akhenaten,https://www.marvel.com/characters/akhenaten
49,Aladi Ko Eke,https://www.marvel.com/characters/aladi-ko-eke
50,Alan O'Neil,https://www.marvel.com/characters/alan-o-neil
51,Albert ,https://www.marvel.com/characters/albert-elsie-dee
52,Albino ,https://www.marvel.com/characters/albino-augusta-seger
53,Albion ,https://www.marvel.com/characters/albion-peter-hunter
54,Alchemy,https://www.marvel.com/characters/alchemy
55,Aldebron,https://www.marvel.com/characters/aldebron
56,Aleta Ogord,https://www.marvel.com/characters/aleta-ogord
57,Alex Wilder,https://www.marvel.com/characters/alex-wilder
58,Alexander Bont,https://www.marvel.com/characters/alexander-bont
59,Alexander Lexington,https://www.marvel.com/characters/alexander-lexington
60,Alflyse,https://www.marvel.com/characters/alflyse
61,Alice,https://www.marvel.com/characters/alice
62,Alicia Masters,https://www.marvel.com/characters/alicia-masters
63,Alioth,https://www.marvel.com/characters/alioth
64,Alkhema,https://www.marvel.com/characters/alkhema
65,All-American,https://www.marvel.com/characters/all-american
66,Allatou,https://www.marvel.com/characters/allatou
67,Alpha the Ultimate Mutant,https://www.marvel.com/characters/alpha-the-ultimate-mutant
68,Alphonso Mackenzie,https://www.marvel.com/characters/alphonso-mack-mackenzie
69,Alter Ego,https://www.marvel.com/characters/alter-ego
70,Alvi Brorson,https://www.marvel.com/characters/alvi
71,Alysande Stuart,https://www.marvel.com/characters/alysande-stuart
72,Alyssa Moy,https://www.marvel.com/characters/alyssa-moy
73,Brawn,https://www.marvel.com/characters/amadeus-cho
74,Amalgam,https://www.marvel.com/characters/amalgam
75,Amanda,https://www.marvel.com/characters/amanda
